loan_limit,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,submission_of_application,LTV,Region,Security_Type,dtir1,_reference_pd
cf,nopre,type1,p3,l1,nopc,nob/c,466500,360.0,not_neg,not_int,not_lpsm,798000.0,sb,pr,home,1U,16260.0,CRIF,763,EXP,to_inst,58.45864662,North,direct,17.0,0.0363101065158844
cf,nopre,type1,p4,l1,nopc,nob/c,536500,360.0,not_neg,not_int,not_lpsm,738000.0,sb,pr,home,1U,12000.0,CRIF,869,EXP,not_inst,72.69647696,North,direct,24.0,0.02772643230855465
cf,nopre,type1,p3,l1,nopc,nob/c,266500,300.0,not_neg,not_int,not_lpsm,398000.0,sb,pr,home,1U,4380.0,CIB,699,CIB,to_inst,66.95979899,south,direct,40.0,0.059588298201560974
cf,nopre,type1,p4,l1,nopc,nob/c,416500,360.0,not_neg,not_int,not_lpsm,718000.0,sb,pr,home,1U,4080.0,EXP,564,CIB,to_inst,58.00835655,central,direct,44.0,0.11089865863323212
cf,nopre,type1,p3,l1,nopc,nob/c,116500,120.0,not_neg,not_int,lpsm,408000.0,sb,pr,home,1U,5880.0,CIB,639,EXP,to_inst,28.55392157,south,direct,35.0,0.5
cf,nopre,type2,p3,l1,nopc,b/c,36500,360.0,not_neg,not_int,not_lpsm,38000.0,sb,pr,home,1U,1140.0,CIB,839,CIB,to_inst,96.05263158,North,direct,9.0,0.9869565367698669
cf,nopre,type1,p3,l1,nopc,nob/c,206500,360.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1U,2640.0,CIB,603,CIB,to_inst,71.70138889,North,direct,48.0,0.11089865863323212
ncf,nopre,type1,p3,l1,nopc,nob/c,136500,360.0,not_neg,not_int,not_lpsm,188000.0,sb,ir,home,1U,5880.0,CRIF,772,CIB,to_inst,72.60638298,North,direct,43.0,0.11276596039533615
cf,nopre,type3,p3,l1,nopc,nob/c,266500,360.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,4500.0,CRIF,586,EXP,not_inst,52.46062992,south,direct,31.0,0.0363101065158844
cf,nopre,type1,p3,l1,nopc,nob/c,416500,360.0,not_neg,not_int,lpsm,608000.0,sb,pr,home,1U,4320.0,EXP,591,CIB,to_inst,68.50328947,North,direct,47.0,0.6666666865348816
cf,nopre,type1,p4,l1,nopc,nob/c,166500,240.0,not_neg,not_int,not_lpsm,228000.0,sb,pr,home,1U,4320.0,CIB,554,CIB,to_inst,73.02631579,south,direct,25.0,0.10782501846551895
cf,nopre,type1,p3,l1,nopc,nob/c,186500,360.0,not_neg,not_int,not_lpsm,318000.0,sb,pr,home,1U,2340.0,CIB,509,CIB,to_inst,58.64779874,south,direct,40.0,0.10782501846551895
cf,nopre,type1,p3,l1,nopc,nob/c,556500,360.0,not_neg,not_int,not_lpsm,818000.0,sb,pr,home,1U,8640.0,CRIF,607,EXP,to_inst,68.03178484,North,direct,34.0,0.0363101065158844
cf,nopre,type1,p4,l1,nopc,nob/c,346500,360.0,not_neg,not_int,not_lpsm,478000.0,sb,pr,home,1U,4500.0,CRIF,551,CIB,not_inst,72.48953975,south,direct,43.0,0.04065827652812004
cf,pre,type1,p1,l1,nopc,nob/c,106500,360.0,not_neg,not_int,not_lpsm,108000.0,sb,pr,home,1U,3660.0,CIB,834,CIB,to_inst,98.61111111,south,direct,37.0,0.10782501846551895
cf,nopre,type1,p4,l1,nopc,nob/c,566500,360.0,not_neg,int_only,not_lpsm,758000.0,sb,pr,home,1U,6360.0,CIB,803,CIB,not_inst,74.73614776,south,direct,42.0,0.0363101065158844
cf,nopre,type1,p4,l1,nopc,nob/c,266500,360.0,not_neg,not_int,not_lpsm,348000.0,sb,pr,home,1U,5400.0,EXP,710,CIB,not_inst,76.58045977,North,direct,49.0,0.059588298201560974
cf,nopre,type1,p3,l1,nopc,nob/c,286500,324.0,neg_amm,int_only,not_lpsm,298000.0,sb,pr,home,1U,3960.0,CIB,588,CIB,not_inst,96.1409396,North,direct,48.0,0.7596899271011353
cf,pre,type1,p4,l1,nopc,nob/c,436500,360.0,not_neg,not_int,not_lpsm,738000.0,sb,pr,home,1U,8760.0,EXP,732,EXP,to_inst,59.14634146,North,direct,30.0,0.03455149382352829
cf,nopre,type1,p3,l2,nopc,nob/c,206500,360.0,not_neg,not_int,not_lpsm,438000.0,sb,pr,home,1U,2760.0,EXP,555,CIB,to_inst,47.14611872,North,direct,35.0,0.06420404464006424
cf,nopre,type3,p3,l1,nopc,nob/c,196500,360.0,not_neg,not_int,not_lpsm,228000.0,sb,pr,home,1U,3480.0,EXP,696,CIB,to_inst,86.18421053,south,direct,53.0,0.11089865863323212
cf,nopre,type1,p4,l1,nopc,nob/c,216500,240.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,3360.0,EXP,692,CIB,to_inst,83.91472868,south,direct,45.0,0.1839258074760437
cf,nopre,type2,p1,l1,nopc,b/c,146500,360.0,not_neg,not_int,not_lpsm,158000.0,sb,pr,home,1U,2340.0,CIB,750,CIB,to_inst,92.72151899,North,direct,49.0,0.23026315867900848
cf,nopre,type2,p3,l1,nopc,b/c,126500,360.0,not_neg,not_int,not_lpsm,158000.0,sb,pr,home,1U,6120.0,CRIF,746,EXP,to_inst,80.06329114,south,direct,49.0,0.11276596039533615
cf,nopre,type1,p4,l1,nopc,nob/c,466500,360.0,not_neg,not_int,not_lpsm,718000.0,sb,pr,home,1U,14160.0,CIB,749,EXP,not_inst,64.97214485,North,direct,14.0,0.03435804694890976
cf,pre,type1,p1,l1,nopc,nob/c,266500,360.0,not_neg,not_int,not_lpsm,388000.0,sb,pr,home,1U,9600.0,CRIF,517,CIB,to_inst,68.68556701,south,direct,5.0,0.0363101065158844
cf,pre,type1,p3,l1,nopc,nob/c,246500,360.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,5640.0,CIB,670,EXP,to_inst,48.52362205,North,direct,20.0,0.04065827652812004
cf,nopre,type3,p3,l1,nopc,nob/c,656500,360.0,not_neg,not_int,not_lpsm,728000.0,sb,pr,home,1U,9600.0,CRIF,595,EXP,not_inst,90.17857143,North,direct,36.0,0.0363101065158844
cf,nopre,type1,p4,l1,nopc,nob/c,276500,312.0,not_neg,not_int,not_lpsm,458000.0,sb,pr,home,1U,7140.0,CIB,507,CIB,to_inst,60.37117904,south,direct,37.0,0.04065827652812004
cf,,type1,p1,l1,nopc,nob/c,426500,360.0,not_neg,int_only,not_lpsm,538000.0,sb,pr,home,1U,5580.0,CRIF,759,CIB,not_inst,79.27509294,south,direct,34.0,0.04065827652812004
cf,pre,type1,p1,l1,nopc,nob/c,276500,360.0,not_neg,not_int,not_lpsm,458000.0,sb,pr,home,1U,3660.0,CRIF,745,CIB,to_inst,60.37117904,North,direct,45.0,0.059588298201560974
cf,nopre,type3,p3,l1,nopc,nob/c,216500,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,4740.0,CRIF,502,EXP,to_inst,83.91472868,North,direct,26.0,0.11089865863323212
cf,nopre,type1,p2,l1,nopc,nob/c,166500,180.0,not_neg,not_int,not_lpsm,558000.0,sb,ir,home,1U,3000.0,CRIF,606,CIB,to_inst,29.83870968,south,direct,40.0,0.14369073510169983
cf,nopre,type1,p3,l1,nopc,nob/c,166500,180.0,not_neg,not_int,not_lpsm,328000.0,sb,pr,home,1U,4380.0,EXP,715,CIB,to_inst,50.76219512,south,direct,27.0,0.10782501846551895
cf,nopre,type1,p1,l1,nopc,nob/c,306500,360.0,not_neg,not_int,not_lpsm,448000.0,sb,ir,home,1U,9240.0,CRIF,819,EXP,not_inst,68.41517857,south,direct,42.0,0.05779334530234337
cf,pre,type1,p1,l1,nopc,nob/c,106500,360.0,not_neg,not_int,not_lpsm,168000.0,sb,pr,home,1U,3060.0,CRIF,805,CIB,to_inst,63.39285714,south,direct,42.0,0.06766917556524277
cf,nopre,type1,p1,l1,nopc,nob/c,256500,360.0,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1U,3840.0,CIB,546,CIB,not_inst,95.70895522,central,direct,31.0,0.0861159935593605
cf,pre,type1,p1,l1,nopc,nob/c,136500,360.0,not_neg,not_int,not_lpsm,148000.0,sb,pr,home,1U,2340.0,CRIF,600,CIB,to_inst,92.22972973,central,direct,41.0,0.10782501846551895
cf,nopre,type1,p4,l1,nopc,nob/c,346500,360.0,not_neg,not_int,not_lpsm,1958000.0,sb,pr,home,1U,7920.0,EXP,518,EXP,not_inst,17.69662921,south,direct,33.0,0.02772643230855465
cf,nopre,type1,p1,l1,nopc,nob/c,466500,360.0,not_neg,not_int,not_lpsm,558000.0,sb,pr,home,1U,6480.0,CRIF,539,CIB,not_inst,83.60215054,North,direct,31.0,0.03455149382352829
cf,nopre,type2,p3,l1,nopc,b/c,56500,180.0,neg_amm,not_int,not_lpsm,138000.0,sb,pr,home,1U,2460.0,CRIF,542,CIB,to_inst,40.94202899,south,direct,46.0,0.5
cf,nopre,type1,p4,l1,nopc,nob/c,176500,360.0,not_neg,int_only,not_lpsm,278000.0,sb,pr,home,1U,7020.0,CRIF,522,EXP,to_inst,63.48920863,North,direct,27.0,0.059588298201560974
cf,nopre,type1,p3,l1,nopc,nob/c,196500,360.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1U,4860.0,EXP,726,CIB,not_inst,68.22916667,south,direct,22.0,0.05779334530234337
cf,nopre,type1,p4,l1,nopc,nob/c,436500,360.0,not_neg,not_int,not_lpsm,498000.0,sb,pr,home,1U,5040.0,EXP,505,CIB,to_inst,87.65060241,North,direct,45.0,0.1839258074760437
ncf,pre,type1,p1,l1,nopc,nob/c,266500,360.0,not_neg,not_int,not_lpsm,388000.0,sb,pr,home,1U,3600.0,CRIF,698,CIB,to_inst,68.68556701,central,direct,45.0,0.06766917556524277
cf,nopre,type1,p4,l1,nopc,nob/c,706500,360.0,neg_amm,not_int,not_lpsm,1308000.0,sb,pr,home,1U,61260.0,EXP,631,EXP,not_inst,54.01376147,North,direct,39.0,0.10782501846551895
