ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status,dtir1
113822,2019,,Joint,nopre,type1,p3,l1,nopc,nob/c,226500,,,,360.0,neg_amm,not_int,not_lpsm,348000.0,sb,pr,home,1U,0.0,EXP,850,EXP,45-54,to_inst,65.0862069,North,direct,1,17.0
150527,2019,cf,Sex Not Available,nopre,type2,p3,l1,nopc,b/c,326500,,,,360.0,not_neg,not_int,not_lpsm,348000.0,sb,pr,home,1U,14760.0,EXP,836,CIB,35-44,to_inst,93.82183908,south,direct,1,36.0
49832,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,216500,,,,360.0,not_neg,not_int,not_lpsm,388000.0,sb,pr,home,1U,2700.0,EXP,588,EXP,45-54,to_inst,55.79896907,south,direct,1,54.0
75817,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,226500,3.75,0.6195,1528.85,180.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1U,4260.0,CIB,581,CIB,65-74,to_inst,78.64583333,south,direct,0,41.0
101043,2019,cf,Joint,nopre,type1,p1,l2,nopc,nob/c,406500,4.5,1.0402,0.0,240.0,not_neg,not_int,not_lpsm,428000.0,sb,pr,home,1U,6900.0,EXP,759,EXP,45-54,not_inst,94.97663551,North,direct,0,49.0
164446,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,676500,4.25,-0.246,0.0,360.0,not_neg,not_int,not_lpsm,898000.0,sb,pr,home,1U,7020.0,CRIF,682,CIB,25-34,not_inst,75.33407572,south,direct,0,47.0
136092,2019,cf,Female,nopre,type1,p2,l1,nopc,nob/c,156500,3.99,0.3153,1150.5,360.0,not_neg,not_int,not_lpsm,928000.0,sb,pr,home,1U,3600.0,EXP,701,CIB,35-44,not_inst,16.86422414,south,direct,0,37.0
116968,2019,cf,Joint,nopre,type3,p1,l1,nopc,nob/c,426500,3.25,-0.2537,814.55,360.0,not_neg,not_int,not_lpsm,468000.0,sb,pr,home,1U,7800.0,CIB,501,EXP,35-44,not_inst,91.13247863,North,direct,0,28.0
36088,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,376500,3.875,0.1652,1749.0,300.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,6600.0,CIB,542,CIB,35-44,not_inst,74.11417323,North,direct,0,40.0
148206,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,166500,4.99,0.6086,0.0,360.0,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1U,1800.0,EXP,877,CIB,65-74,to_inst,62.12686567,south,direct,0,42.0
